"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"IOTS","Adesto Technologies Corporation","2.22","33424395.48","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iots",
"ADMA","ADMA Biologics Inc","7.24","93300004.84","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","108.54","53969020750.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","19.12","925388727.04","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","12.42","804247859.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adro",
"AAAP","Advanced Accelerator Applications S.A.","37.81","952529521.49","25192529","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaap",
"ADES","Advanced Emissions Solutions, Inc.","7.51","165504035.71","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","47.31","1877070235.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aeis",
"AITP","Advanced Inhalation Therapies (AIT) Ltd.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aitp",
"AMD","Advanced Micro Devices, Inc.","6.91","5497304474.01","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","10.69","425933621.42","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","6.9","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adxsw",
"ADVM","Adverum Biotechnologies, Inc.","4.1","169527595.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/advm",
"MAUI","AdvisorShares Market Adaptive Unconstrained Income ETF","23.89","1194500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/maui",
"YPRO","AdvisorShares YieldPro ETF","23.5822","18276205","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ypro",
"AEGR","Aegerion Pharmaceuticals, Inc.","2.96","87362766.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aegr",
"AEGN","Aegion Corp","19.04","658798127.68","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","6.555","87914165.46","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agle",
"AEHR","Aehr Test Systems","3.2","42662288","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","1.08","21446836.56","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amtx",
"AEPI","AEP Industries Inc.","109.37","559296415.37","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aepi",
"AERI","Aerie Pharmaceuticals, Inc.","37.76","1053238660.48","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","24.42","571123067.46","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/avav",
"AEZS","AEterna Zentaris Inc.","3.43","34093730.09","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","5.02","38308388.06","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aemd",
"AFMD","Affimed N.V.","2.79","92793737.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afmd",
"AGEN","Agenus Inc.","7.17","623784995.34","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","6.99","200981505.81","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","11.13","255312205.26","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","52.9","2012652867.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agio",
"AGFS","AgroFresh Solutions, Inc.","5.28","263849182.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.78","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agfsw",
"AIMT","Aimmune Therapeutics, Inc.","15.01","634238033.66","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aimt",
"AIRM","Air Methods Corporation","31.48","1198927038.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","20.421","41715794.169","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","14.35","856096590.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atsg",
"AIRG","Airgain, Inc.","15.7785","116226166.635","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/airg",
"AMCN","AirMedia Group Inc","3.37","147840838.45","43869685","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","6.07","26421326.04","4352772","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aixg",
"AKAM","Akamai Technologies, Inc.","52.99","9258648658.49","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","8.51","4257008.36","500236","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aktx",
"AKBA","Akebia Therapeutics, Inc.","9.02","342864668.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","3.3","17993398.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","27.2625","3435887422.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/akrx",
"ALRM","Alarm.com Holdings, Inc.","28.88","1317882310.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alrm",
"ALSK","Alaska Communications Systems Group, Inc.","1.73","88817516.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alsk",
"AMRI","Albany Molecular Research, Inc.","16.51","707779919.21","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amri",
"ABDC","Alcentra Capital Corp.","13.04","175917893.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abdc",
"ADHD","Alcobra Ltd.","2.46","67799863.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adhd",
"ALDR","Alder BioPharmaceuticals, Inc.","32.77","1644558714.22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","7.82","97535114.22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aldx",
"ALXN","Alexion Pharmaceuticals, Inc.","122.54","27479349674.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alxn",
"ALCO","Alico, Inc.","26.845","223230537.075","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","93.75","7504366031.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","1.5","68638879.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alim",
"ALJJ","ALJ Regional Holdings, Inc.","4.69","161820064.28","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aljj",
"ALKS","Alkermes plc","47.03","7127711742.09","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alks",
"ABTX","Allegiance Bancshares, Inc.","27.01","347771576.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abtx",
"ALGT","Allegiant Travel Company","131.89","2173972413.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/algt",
"AIQ","Alliance HealthCare Services, Inc.","6.86","73666459.86","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aiq",
"AHGP","Alliance Holdings GP, L.P.","26.05","1559431150","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","22.18","1649638054.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arlp",
"AHPI","Allied Healthcare Products, Inc.","0.819","6574233.393","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","18.9","177593264.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amot",
"ALQA","Alliqua BioMedical, Inc.","0.8","23739269.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alqa",
"ALLT","Allot Communications Ltd.","5.27","176851197.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","13.17","2456985941.49","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mdrx",
"AFAM","Almost Family Inc","36.72","381422941.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afam",
"ALNY","Alnylam Pharmaceuticals, Inc.","67.78","5810415895.86","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","21.73","494486489.28","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aosl",
"GOOG","Alphabet Inc.","777.29","534211049670.13","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","804.06","552609369215.82","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/googl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","22.03","24232449.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/smcp",
